Relation,ResourceType,Scheme,Identifier,CitationKey,Title,Year,Notes
Cites,Journal article,DOI,10.1103/PhysRevE.85.041133,AltanerEtAl2012,"Network representations of non-equilibrium steady states: Cycle decompositions, symmetries and dominant paths",2012,
Cites,Book,ISBN,978-0-52144-178-0,Borceux1994,Handbook of Categorical Algebra 1: Basic Category Theory,1994,
Cites,Journal article,DOI,10.1088/1751-8121/adbc52,BauerSeifertVanderMeer2025,Stroboscopic measurements in markov networks: exact generator reconstruction vs. thermodynamic inference,2025,
Cites,Book,ISBN,978-0-521-19681-9,CsiszarKorner2011,Information Theory: Coding Theorems for Discrete Memoryless Systems,2011,
Cites,Journal article,DOI,10.1073/pnas.50.6.1143,Cohen1963,The independence of the continuum hypothesis,1963,
Cites,Book,ISBN,978-0-471-24195-9,CoverThomas2006,Elements of Information Theory,2006,
Cites,Journal article,DOI,10.1103/PhysRevX.13.021040,DalCengioLecomtePolettini2023,Geometry of nonequilibrium reaction networks,2023,
Cites,Book,ISBN,978-0-521-78451-1,DaveyPriestley2002,Introduction to Lattices and Order,2002,
Cites,Preprint,arXiv,2309.07665,DeguntherVanderMeerSeifert2023,Coarse-grained entropy production in markov processes,2023,
Cites,Book chapter,DOI,10.1515/9781614516873.265,Hyttinen2015,Counting measure and forking in finite models,2015,
Cites,Journal article,DOI,10.1017/jpr.2019.44,KhudaBukhshEtAl2019,Approximate lumpability for markovian agent-based models using local symmetries,2019,
Cites,Book,ISBN,978-0-471-27601-2,Kelly1979,Reversibility and Stochastic Networks,1979,
Cites,Book,ISBN,978-0-44204-328-5,KemenySnell1960,Finite Markov Chains,1960,
Cites,Book,ISBN,978-1-84890-050-9,Kunen2011,Set Theory,2011,
Cites,Book,ISBN,978-3-540-21202-7,Libkin2004,Elements of Finite Model Theory,2004,
Cites,Journal article,DOI,10.1023/A:1004589714161,LebowitzSpohn1999,A gallavotti--cohen type symmetry in the large deviation functional for stochastic dynamics,1999,
Cites,Journal article,DOI,10.1109/TIT.2011.2159052,Merhav2010,Data processing theorems and the second law of thermodynamics,2011,
Cites,Book,ISBN,978-0-387-98403-2,MacLane1998,"Categories for the Working Mathematician, volume~5 of Graduate Texts in Mathematics",1998,
Cites,Book,DOI,10.1017/CBO9780511974960.005,MacphersonSteinhorn2011,Definability in classes of finite structures,2011,
Cites,Journal article,arXiv,0810.1127,NilssonJacobi2010,A robust spectral method for finding lumpings and metastable states of non-reversible markov chains,2010,
Cites,Book,ISBN,978-0-52163-396-3,Norris1997,Markov Chains,1997,
Cites,Thesis,URL,https://amsdottorato.unibo.it/id/eprint/4305,Polettini2012,Geometric and Combinatorial Aspects of Nonequilibrium Statistical Mechanics,2012,
Cites,Journal article,DOI,10.1088/1742-5468/2010/05/P05015,Puglisi2010,Entropy production and coarse-graining in markov processes,2010,
Cites,Journal article,DOI,10.1214/aop/1176994363,RogersPitman1981,Markov functions,1981,
Cites,Journal article,DOI,10.1103/RevModPhys.48.571,Schnakenberg1976,Network theory of microscopic and macroscopic behavior of master equation systems,1976,
Cites,Journal article,DOI,10.1088/0034-4885/75/12/126001,Seifert2012,"Stochastic thermodynamics, fluctuation theorems and molecular machines",2012,
Cites,Journal article,DOI,10.1209/0295-5075/77/58001,SinitsynNemenman2007,The berry phase and the pump flux in stochastic chemical kinetics,2007,
Cites,Journal article,DOI,10.1007/BF00276493,Willems1972,Dissipative dynamical systems part i: General theory,1972,
